Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Returned,Days_to_Return_Calc,category_encoded,location_encoded,payment_encoded,shipping_encoded,gender_encoded,return_probability
ORD00000027,PROD00000027,USER00000027,2024-05-26,,Home,455.82,1,No Return,Not Returned,0.0,52,Female,City10,PayPal,Express,11.96,0,0.0,3,1,3,0,0,0.00267630415174192
ORD00000028,PROD00000028,USER00000028,2024-05-15,2024-09-05,Toys,106.6,5,Defective,Returned,113.0,53,Male,City69,Credit Card,Standard,18.42,1,113.0,4,66,0,2,1,1.0
ORD00000029,PROD00000029,USER00000029,2024-04-06,,Books,317.9,5,No Return,Not Returned,0.0,59,Female,City32,Gift Card,Standard,18.05,0,0.0,0,26,2,2,0,0.003964635688441455
ORD00000030,PROD00000030,USER00000030,2023-05-02,,Toys,413.34,3,No Return,Not Returned,0.0,49,Male,City55,Credit Card,Standard,38.29,0,0.0,4,51,0,2,1,0.00288291727510137
ORD00000031,PROD00000031,USER00000031,2023-12-09,,Electronics,481.73,5,No Return,Not Returned,0.0,28,Female,City79,Credit Card,Next-Day,20.03,0,0.0,2,77,0,1,0,0.0018715046364686581
ORD00000032,PROD00000032,USER00000032,2024-06-30,,Toys,308.89,4,No Return,Not Returned,0.0,68,Female,City47,Debit Card,Express,35.45,0,0.0,4,42,1,0,0,0.005297233842679402
ORD00000034,PROD00000034,USER00000034,2023-09-07,,Toys,290.49,3,No Return,Not Returned,0.0,34,Male,City42,PayPal,Next-Day,8.51,0,0.0,4,37,3,1,1,0.005620247441520529
ORD00000035,PROD00000035,USER00000035,2024-07-23,,Clothing,331.26,2,No Return,Not Returned,0.0,46,Female,City95,PayPal,Standard,41.02,0,0.0,1,95,3,2,0,0.0023028827393940907
ORD00000037,PROD00000037,USER00000037,2023-02-11,2024-05-10,Clothing,246.15,1,Wrong item,Returned,454.0,31,Female,City62,Gift Card,Standard,23.63,1,454.0,1,59,2,2,0,1.0
ORD00000038,PROD00000038,USER00000038,2023-02-17,,Toys,43.82,2,No Return,Not Returned,0.0,28,Female,City11,Credit Card,Next-Day,14.6,0,0.0,4,3,0,1,0,0.0028568917503836995
ORD00000040,PROD00000040,USER00000040,2023-03-21,,Toys,351.52,1,No Return,Not Returned,0.0,46,Male,City42,PayPal,Next-Day,11.58,0,0.0,4,37,3,1,1,0.005107934642722262
ORD00000042,PROD00000042,USER00000042,2024-02-10,,Books,240.65,2,No Return,Not Returned,0.0,33,Female,City61,Gift Card,Standard,12.93,0,0.0,0,58,2,2,0,0.0024223751003225958
ORD00000043,PROD00000043,USER00000043,2024-05-23,2024-06-05,Clothing,105.7,3,Wrong item,Returned,13.0,44,Male,City41,Credit Card,Next-Day,42.07,1,13.0,1,36,0,1,1,1.0
ORD00000044,PROD00000044,USER00000044,2024-10-10,,Home,188.76,3,No Return,Not Returned,0.0,66,Female,City12,Gift Card,Standard,12.68,0,0.0,3,4,2,2,0,0.005646537241061319
ORD00000046,PROD00000046,USER00000046,2023-05-22,2024-03-09,Home,97.31,2,Changed mind,Returned,292.0,53,Female,City49,Debit Card,Next-Day,10.96,1,292.0,3,44,1,1,0,1.0
ORD00000049,PROD00000049,USER00000049,2024-03-14,,Clothing,297.62,4,No Return,Not Returned,0.0,52,Male,City53,Credit Card,Express,16.9,0,0.0,1,49,0,0,1,0.00677054305870834
ORD00000050,PROD00000050,USER00000050,2023-06-14,2024-07-21,Books,23.6,1,Defective,Returned,403.0,37,Female,City12,Credit Card,Next-Day,6.53,1,403.0,0,4,0,1,0,1.0
ORD00000051,PROD00000051,USER00000051,2024-03-27,,Toys,495.34,3,No Return,Not Returned,0.0,46,Female,City50,Debit Card,Express,43.34,0,0.0,4,46,1,0,0,0.0017673648466634863
ORD00000052,PROD00000052,USER00000052,2024-02-22,,Toys,49.47,2,No Return,Not Returned,0.0,53,Female,City46,Credit Card,Express,38.09,0,0.0,4,41,0,0,0,0.004649587266200435
ORD00000054,PROD00000054,USER00000054,2023-02-12,,Home,283.79,2,No Return,Not Returned,0.0,42,Male,City76,Debit Card,Next-Day,30.81,0,0.0,3,74,1,1,1,0.004261412449613004
ORD00000056,PROD00000056,USER00000056,2024-02-04,,Electronics,353.51,4,No Return,Not Returned,0.0,39,Female,City24,Debit Card,Standard,17.72,0,0.0,2,17,1,2,0,0.002079552914507201
ORD00000058,PROD00000058,USER00000058,2024-05-06,,Home,129.94,5,No Return,Not Returned,0.0,65,Female,City37,PayPal,Next-Day,12.83,0,0.0,3,31,3,1,0,0.010470336516444774
ORD00000059,PROD00000059,USER00000059,2023-02-13,,Electronics,16.37,2,No Return,Not Returned,0.0,32,Male,City65,Credit Card,Next-Day,16.08,0,0.0,2,62,0,1,1,0.006245999498723165
ORD00000061,PROD00000061,USER00000061,2024-11-06,,Home,344.6,4,No Return,Not Returned,0.0,28,Female,City80,PayPal,Next-Day,40.95,0,0.0,3,79,3,1,0,0.00207975588030456
ORD00000062,PROD00000062,USER00000062,2023-12-12,,Clothing,195.24,5,No Return,Not Returned,0.0,53,Female,City3,Gift Card,Express,16.1,0,0.0,1,23,2,0,0,0.00608292062682181
ORD00000063,PROD00000063,USER00000063,2023-11-21,,Clothing,428.0,1,No Return,Not Returned,0.0,50,Female,City81,Debit Card,Standard,12.39,0,0.0,1,80,1,2,0,0.0024348440142658934
ORD00000065,PROD00000065,USER00000065,2023-06-03,2023-09-22,Toys,280.61,2,Defective,Returned,111.0,32,Male,City92,Debit Card,Express,2.34,1,111.0,4,92,1,0,1,1.0
ORD00000066,PROD00000066,USER00000066,2024-09-08,,Books,142.71,2,No Return,Not Returned,0.0,60,Female,City75,Debit Card,Next-Day,19.05,0,0.0,0,73,1,1,0,0.005660771607598254
ORD00000068,PROD00000068,USER00000068,2023-11-13,2024-06-16,Electronics,394.08,3,Wrong item,Returned,216.0,62,Male,City28,Credit Card,Next-Day,12.27,1,216.0,2,21,0,1,1,1.0
ORD00000069,PROD00000069,USER00000069,2024-06-11,,Clothing,266.88,2,No Return,Not Returned,0.0,65,Female,City3,Debit Card,Next-Day,21.32,0,0.0,1,23,1,1,0,0.003892283201519096
ORD00000071,PROD00000071,USER00000071,2024-08-21,,Toys,312.45,4,No Return,Not Returned,0.0,30,Female,City100,PayPal,Next-Day,33.19,0,0.0,4,2,3,1,0,0.0018982195802672089
ORD00000072,PROD00000072,USER00000072,2023-03-30,,Toys,481.58,3,No Return,Not Returned,0.0,39,Male,City97,Debit Card,Next-Day,22.71,0,0.0,4,97,1,1,1,0.003936178240578687
ORD00000073,PROD00000073,USER00000073,2023-07-10,,Clothing,283.14,5,No Return,Not Returned,0.0,62,Male,City43,Credit Card,Standard,17.53,0,0.0,1,38,0,2,1,0.007067822795411047
ORD00000074,PROD00000074,USER00000074,2024-02-21,,Toys,84.9,5,No Return,Not Returned,0.0,67,Female,City43,Gift Card,Next-Day,46.26,0,0.0,4,38,2,1,0,0.007002331528322451
ORD00000075,PROD00000075,USER00000075,2023-05-08,2024-01-19,Electronics,332.39,5,Not as described,Returned,256.0,36,Male,City53,Debit Card,Next-Day,24.31,1,256.0,2,49,1,1,1,1.0
ORD00000076,PROD00000076,USER00000076,2023-05-30,,Electronics,139.6,5,No Return,Not Returned,0.0,34,Male,City24,PayPal,Standard,13.87,0,0.0,2,17,3,2,1,0.006184534521715321
ORD00000077,PROD00000077,USER00000077,2023-04-09,2024-01-21,Books,185.34,2,Not as described,Returned,287.0,31,Female,City34,PayPal,Standard,36.01,1,287.0,0,28,3,2,0,1.0
ORD00000078,PROD00000078,USER00000078,2023-05-07,2024-08-10,Toys,64.29,2,Not as described,Returned,461.0,39,Male,City57,Debit Card,Express,47.4,1,461.0,4,53,1,0,1,1.0
ORD00000079,PROD00000079,USER00000079,2024-08-07,,Electronics,231.65,5,No Return,Not Returned,0.0,58,Male,City14,Debit Card,Standard,45.83,0,0.0,2,6,1,2,1,0.004311355819844163
ORD00000080,PROD00000080,USER00000080,2023-04-02,,Electronics,44.48,1,No Return,Not Returned,0.0,50,Male,City8,Debit Card,Express,27.66,0,0.0,2,78,1,0,1,0.008776758454138927
ORD00000082,PROD00000082,USER00000082,2023-03-17,2023-08-31,Electronics,496.22,5,Changed mind,Returned,167.0,67,Male,City36,Gift Card,Next-Day,32.87,1,167.0,2,30,2,1,1,1.0
ORD00000083,PROD00000083,USER00000083,2023-06-08,2024-10-23,Electronics,52.19,1,Not as described,Returned,503.0,21,Female,City100,Debit Card,Standard,35.14,1,503.0,2,2,1,2,0,1.0
ORD00000084,PROD00000084,USER00000084,2024-11-18,,Books,427.29,3,No Return,Not Returned,0.0,51,Male,City28,PayPal,Standard,46.46,0,0.0,0,21,3,2,1,0.0022521017906979393
ORD00000085,PROD00000085,USER00000085,2023-04-13,,Home,283.68,3,No Return,Not Returned,0.0,49,Male,City95,Credit Card,Next-Day,38.31,0,0.0,3,95,0,1,1,0.005040657192037658
ORD00000086,PROD00000086,USER00000086,2024-03-06,,Home,255.78,2,No Return,Not Returned,0.0,63,Female,City52,Credit Card,Next-Day,34.49,0,0.0,3,48,0,1,0,0.0035473416037515274
ORD00000087,PROD00000087,USER00000087,2023-08-03,,Books,478.47,4,No Return,Not Returned,0.0,22,Female,City71,PayPal,Standard,9.06,0,0.0,0,69,3,2,0,0.0016988742206390495
ORD00000089,PROD00000089,USER00000089,2023-07-31,,Home,481.66,3,No Return,Not Returned,0.0,28,Male,City4,PayPal,Next-Day,20.8,0,0.0,3,34,3,1,1,0.0025360087996606066
ORD00000090,PROD00000090,USER00000090,2024-10-10,,Toys,193.16,3,No Return,Not Returned,0.0,56,Male,City11,PayPal,Express,26.81,0,0.0,4,3,3,0,1,0.008042343038605829
ORD00000092,PROD00000092,USER00000092,2023-10-02,2024-02-27,Home,394.71,4,Changed mind,Returned,148.0,66,Female,City25,Gift Card,Next-Day,16.01,1,148.0,3,18,2,1,0,1.0
ORD00000093,PROD00000093,USER00000093,2023-07-29,2024-07-01,Home,230.9,2,Defective,Returned,338.0,69,Male,City10,Credit Card,Next-Day,26.62,1,338.0,3,1,0,1,1,1.0
ORD00000094,PROD00000094,USER00000094,2024-04-03,,Clothing,296.56,1,No Return,Not Returned,0.0,39,Female,City97,Gift Card,Standard,32.02,0,0.0,1,97,2,2,0,0.0020836282718530823
ORD00000095,PROD00000095,USER00000095,2023-02-27,,Books,490.55,1,No Return,Not Returned,0.0,62,Male,City10,PayPal,Standard,17.9,0,0.0,0,1,3,2,1,0.0030490646873504532
ORD00000096,PROD00000096,USER00000096,2023-06-18,2023-11-08,Toys,496.31,4,Defective,Returned,143.0,53,Male,City88,Gift Card,Next-Day,10.15,1,143.0,4,87,2,1,1,1.0
ORD00000098,PROD00000098,USER00000098,2024-02-21,,Clothing,434.25,5,No Return,Not Returned,0.0,18,Female,City83,Gift Card,Express,7.11,0,0.0,1,82,2,0,0,0.002589086585033802
ORD00000099,PROD00000099,USER00000099,2023-12-07,2024-12-30,Books,46.61,1,Wrong item,Returned,389.0,42,Male,City12,Credit Card,Next-Day,8.9,1,389.0,0,4,0,1,1,1.0
ORD00000100,PROD00000100,USER00000100,2023-10-30,,Clothing,284.49,4,No Return,Not Returned,0.0,48,Female,City59,Credit Card,Next-Day,39.82,0,0.0,1,55,0,1,0,0.0024792287142261895
ORD00000101,PROD00000101,USER00000101,2024-05-01,2024-08-20,Books,169.93,5,Wrong item,Returned,111.0,40,Male,City40,Credit Card,Next-Day,27.73,1,111.0,0,35,0,1,1,1.0
ORD00000102,PROD00000102,USER00000102,2023-09-21,,Books,146.37,4,No Return,Not Returned,0.0,23,Female,City66,Debit Card,Express,42.55,0,0.0,0,63,1,0,0,0.002130459251329927
ORD00000103,PROD00000103,USER00000103,2024-09-08,,Electronics,444.43,4,No Return,Not Returned,0.0,48,Female,City27,Debit Card,Next-Day,28.53,0,0.0,2,20,1,1,0,0.002042184340366711
ORD00000104,PROD00000104,USER00000104,2023-04-10,2023-10-24,Home,35.16,3,Defective,Returned,197.0,48,Female,City27,PayPal,Next-Day,3.9,1,197.0,3,20,3,1,0,1.0
ORD00000105,PROD00000105,USER00000105,2023-06-12,,Home,287.93,4,No Return,Not Returned,0.0,66,Female,City14,Debit Card,Standard,3.37,0,0.0,3,6,1,2,0,0.005584730012575514
ORD00000107,PROD00000107,USER00000107,2023-10-09,,Toys,168.68,2,No Return,Not Returned,0.0,48,Male,City22,PayPal,Standard,44.53,0,0.0,4,15,3,2,1,0.0039312864170747775
ORD00000108,PROD00000108,USER00000108,2024-10-17,,Books,466.62,3,No Return,Not Returned,0.0,24,Male,City83,Debit Card,Express,8.36,0,0.0,0,82,1,0,1,0.003163974493222862
ORD00000109,PROD00000109,USER00000109,2024-08-27,,Clothing,51.56,4,No Return,Not Returned,0.0,37,Male,City95,Credit Card,Express,44.74,0,0.0,1,95,0,0,1,0.006269964764111231
ORD00000110,PROD00000110,USER00000110,2024-05-31,,Toys,79.31,1,No Return,Not Returned,0.0,37,Female,City36,Gift Card,Next-Day,29.18,0,0.0,4,30,2,1,0,0.0030617314060683194
ORD00000113,PROD00000113,USER00000113,2024-03-10,,Clothing,137.72,3,No Return,Not Returned,0.0,45,Male,City8,Debit Card,Standard,1.13,0,0.0,1,78,1,2,1,0.00906227778967629
ORD00000114,PROD00000114,USER00000114,2023-01-07,,Electronics,464.67,4,No Return,Not Returned,0.0,54,Male,City26,Gift Card,Standard,19.21,0,0.0,2,19,2,2,1,0.0039386167706403465
ORD00000116,PROD00000116,USER00000116,2023-09-26,2024-07-15,Books,79.9,4,Defective,Returned,293.0,42,Female,City73,PayPal,Express,22.19,1,293.0,0,71,3,0,0,1.0
ORD00000117,PROD00000117,USER00000117,2024-02-04,2024-09-17,Electronics,265.23,4,Changed mind,Returned,226.0,57,Male,City89,Credit Card,Next-Day,49.85,1,226.0,2,88,0,1,1,1.0
ORD00000119,PROD00000119,USER00000119,2023-04-13,,Clothing,468.62,2,No Return,Not Returned,0.0,31,Male,City27,Gift Card,Next-Day,46.77,0,0.0,1,20,2,1,1,0.00129706577829161
ORD00000120,PROD00000120,USER00000120,2024-08-08,2024-10-13,Books,245.44,5,Changed mind,Returned,66.0,29,Female,City34,PayPal,Standard,25.44,1,66.0,0,28,3,2,0,1.0
ORD00000121,PROD00000121,USER00000121,2023-09-06,,Toys,116.2,2,No Return,Not Returned,0.0,37,Male,City69,Gift Card,Next-Day,48.36,0,0.0,4,66,2,1,1,0.0043295625096394985
ORD00000122,PROD00000122,USER00000122,2024-06-12,,Home,400.21,3,No Return,Not Returned,0.0,69,Female,City20,PayPal,Standard,36.32,0,0.0,3,13,3,2,0,0.0029771196776457176
ORD00000124,PROD00000124,USER00000124,2023-03-09,,Books,310.14,2,No Return,Not Returned,0.0,54,Male,City65,PayPal,Express,22.6,0,0.0,0,62,3,0,1,0.006489981555845098
ORD00000125,PROD00000125,USER00000125,2024-12-20,,Home,247.46,2,No Return,Not Returned,0.0,48,Male,City52,Gift Card,Next-Day,19.97,0,0.0,3,48,2,1,1,0.005952431830185358
ORD00000126,PROD00000126,USER00000126,2023-01-14,,Home,255.71,2,No Return,Not Returned,0.0,57,Male,City76,Credit Card,Standard,7.64,0,0.0,3,74,0,2,1,0.007688333104146207
ORD00000127,PROD00000127,USER00000127,2024-03-03,,Books,172.02,1,No Return,Not Returned,0.0,46,Female,City11,Credit Card,Next-Day,2.75,0,0.0,0,3,0,1,0,0.0030276479664665514
ORD00000128,PROD00000128,USER00000128,2023-12-01,,Clothing,170.05,2,No Return,Not Returned,0.0,23,Male,City56,Debit Card,Express,35.55,0,0.0,1,52,1,0,1,0.002963231060324292
ORD00000129,PROD00000129,USER00000129,2024-04-09,,Toys,314.35,3,No Return,Not Returned,0.0,22,Male,City3,Credit Card,Standard,15.81,0,0.0,4,23,0,2,1,0.002396681575830863
ORD00000130,PROD00000130,USER00000130,2024-02-25,,Electronics,319.34,1,No Return,Not Returned,0.0,54,Male,City76,Gift Card,Next-Day,18.74,0,0.0,2,74,2,1,1,0.005913918062637708
ORD00000132,PROD00000132,USER00000132,2023-02-15,2024-09-03,Electronics,174.94,1,Defective,Returned,566.0,62,Female,City48,PayPal,Next-Day,22.43,1,566.0,2,43,3,1,0,1.0
ORD00000133,PROD00000133,USER00000133,2024-03-04,,Home,85.28,2,No Return,Not Returned,0.0,20,Female,City70,Credit Card,Express,1.55,0,0.0,3,68,0,0,0,0.004034529766477445
ORD00000136,PROD00000136,USER00000136,2023-01-23,2023-06-11,Toys,386.51,1,Wrong item,Returned,139.0,27,Male,City50,Credit Card,Standard,10.19,1,139.0,4,46,0,2,1,1.0
ORD00000138,PROD00000138,USER00000138,2023-08-01,,Clothing,238.63,2,No Return,Not Returned,0.0,46,Female,City27,Credit Card,Express,20.89,0,0.0,1,20,0,0,0,0.002789643337051038
ORD00000141,PROD00000141,USER00000141,2023-07-29,2024-05-13,Clothing,173.42,1,Wrong item,Returned,289.0,33,Female,City34,Gift Card,Express,26.04,1,289.0,1,28,2,0,0,1.0
ORD00000142,PROD00000142,USER00000142,2023-10-17,,Electronics,199.13,4,No Return,Not Returned,0.0,50,Female,City17,Credit Card,Express,4.82,0,0.0,2,9,0,0,0,0.005235435933696115
ORD00000143,PROD00000143,USER00000143,2023-01-01,,Electronics,219.56,1,No Return,Not Returned,0.0,24,Female,City11,Debit Card,Standard,1.05,0,0.0,2,3,1,2,0,0.0017742397552174976
ORD00000145,PROD00000145,USER00000145,2023-10-10,,Clothing,66.65,2,No Return,Not Returned,0.0,58,Female,City90,PayPal,Express,38.8,0,0.0,1,90,3,0,0,0.006776686281960978
ORD00000146,PROD00000146,USER00000146,2024-10-12,,Clothing,328.09,3,No Return,Not Returned,0.0,59,Female,City29,Gift Card,Next-Day,8.73,0,0.0,1,22,2,1,0,0.004342022525713186
ORD00000147,PROD00000147,USER00000147,2024-12-18,,Clothing,222.62,3,No Return,Not Returned,0.0,53,Female,City79,PayPal,Express,10.03,0,0.0,1,77,3,0,0,0.007318178152710084
ORD00000148,PROD00000148,USER00000148,2024-10-27,,Toys,404.5,1,No Return,Not Returned,0.0,31,Female,City77,Gift Card,Express,44.89,0,0.0,4,75,2,0,0,0.001493658048389289
ORD00000149,PROD00000149,USER00000149,2024-10-15,,Toys,438.43,4,No Return,Not Returned,0.0,32,Male,City12,Credit Card,Express,26.75,0,0.0,4,4,0,0,1,0.002518921829976947
ORD00000151,PROD00000151,USER00000151,2023-10-01,,Toys,140.06,1,No Return,Not Returned,0.0,42,Male,City40,Gift Card,Next-Day,33.08,0,0.0,4,35,2,1,1,0.004637157696705956
ORD00000152,PROD00000152,USER00000152,2024-07-19,,Home,255.92,1,No Return,Not Returned,0.0,18,Female,City81,Debit Card,Standard,33.02,0,0.0,3,80,1,2,0,0.0012942377152024337
ORD00000154,PROD00000154,USER00000154,2024-08-07,,Electronics,27.23,3,No Return,Not Returned,0.0,42,Male,City56,Credit Card,Express,49.27,0,0.0,2,52,0,0,1,0.005279094256679683
ORD00000156,PROD00000156,USER00000156,2024-02-01,,Home,469.69,5,No Return,Not Returned,0.0,28,Female,City26,Gift Card,Express,22.43,0,0.0,3,19,2,0,0,0.001896599701024259
ORD00000157,PROD00000157,USER00000157,2024-06-26,,Books,31.93,5,No Return,Not Returned,0.0,40,Male,City94,Debit Card,Standard,5.75,0,0.0,0,94,1,2,1,0.01163622068652176
ORD00000158,PROD00000158,USER00000158,2023-07-08,,Books,24.41,5,No Return,Not Returned,0.0,69,Male,City4,Credit Card,Next-Day,22.26,0,0.0,0,34,0,1,1,0.013740334812168402
ORD00000159,PROD00000159,USER00000159,2023-09-15,2024-08-25,Clothing,217.79,4,Defective,Returned,345.0,40,Male,City62,PayPal,Express,34.27,1,345.0,1,59,3,0,1,1.0
ORD00000160,PROD00000160,USER00000160,2023-11-04,2024-09-28,Clothing,434.66,2,Not as described,Returned,329.0,19,Female,City81,Debit Card,Standard,49.39,1,329.0,1,80,1,2,0,1.0
ORD00000161,PROD00000161,USER00000161,2024-04-30,,Books,32.48,2,No Return,Not Returned,0.0,57,Female,City47,Gift Card,Standard,9.27,0,0.0,0,42,2,2,0,0.006324980843342359
ORD00000163,PROD00000163,USER00000163,2023-04-27,2024-09-14,Toys,291.43,4,Defective,Returned,506.0,22,Male,City73,PayPal,Express,8.13,1,506.0,4,71,3,0,1,1.0
ORD00000164,PROD00000164,USER00000164,2024-06-02,2024-10-02,Electronics,128.65,1,Changed mind,Returned,122.0,37,Female,City62,Debit Card,Next-Day,1.9,1,122.0,2,59,1,1,0,1.0
ORD00000165,PROD00000165,USER00000165,2023-10-01,2024-08-01,Books,396.48,5,Wrong item,Returned,305.0,69,Male,City36,Debit Card,Express,39.19,1,305.0,0,30,1,0,1,1.0
ORD00000166,PROD00000166,USER00000166,2023-03-14,,Books,300.03,1,No Return,Not Returned,0.0,42,Male,City90,Credit Card,Next-Day,46.37,0,0.0,0,90,0,1,1,0.002518575685570631
ORD00000168,PROD00000168,USER00000168,2023-09-01,,Toys,443.71,3,No Return,Not Returned,0.0,19,Female,City96,Credit Card,Express,46.28,0,0.0,4,96,0,0,0,0.0011968976658117355
ORD00000170,PROD00000170,USER00000170,2023-12-01,2024-05-09,Clothing,118.2,5,Changed mind,Returned,160.0,32,Male,City93,Gift Card,Standard,43.34,1,160.0,1,93,2,2,1,1.0
ORD00000171,PROD00000171,USER00000171,2023-12-17,2024-07-02,Home,138.23,2,Wrong item,Returned,198.0,28,Female,City95,PayPal,Express,42.31,1,198.0,3,95,3,0,0,1.0
ORD00000172,PROD00000172,USER00000172,2024-08-26,2024-11-14,Toys,47.05,3,Not as described,Returned,80.0,43,Female,City29,Gift Card,Express,45.62,1,80.0,4,22,2,0,0,1.0
ORD00000173,PROD00000173,USER00000173,2023-06-05,2024-09-28,Toys,9.03,5,Not as described,Returned,481.0,39,Male,City35,Credit Card,Standard,37.1,1,481.0,4,29,0,2,1,1.0
ORD00000174,PROD00000174,USER00000174,2024-02-25,,Toys,143.73,2,No Return,Not Returned,0.0,49,Female,City21,PayPal,Next-Day,7.07,0,0.0,4,14,3,1,0,0.005583841842615042
ORD00000176,PROD00000176,USER00000176,2024-08-26,,Electronics,140.05,5,No Return,Not Returned,0.0,67,Female,City73,PayPal,Next-Day,22.06,0,0.0,2,71,3,1,0,0.010695676895958827
ORD00000177,PROD00000177,USER00000177,2024-07-18,,Toys,326.97,4,No Return,Not Returned,0.0,26,Female,City61,PayPal,Next-Day,17.41,0,0.0,4,58,3,1,0,0.0028796816604518363
ORD00000178,PROD00000178,USER00000178,2023-04-05,,Books,130.9,2,No Return,Not Returned,0.0,59,Male,City71,Gift Card,Express,14.17,0,0.0,0,69,2,0,1,0.011618870979086428
ORD00000180,PROD00000180,USER00000180,2023-05-20,,Clothing,233.21,1,No Return,Not Returned,0.0,54,Female,City39,Debit Card,Standard,2.79,0,0.0,1,33,1,2,0,0.003698749528451816
ORD00000182,PROD00000182,USER00000182,2023-10-31,2024-09-25,Clothing,69.89,4,Wrong item,Returned,330.0,41,Male,City27,Credit Card,Express,32.4,1,330.0,1,20,0,0,1,1.0
ORD00000183,PROD00000183,USER00000183,2023-03-31,2023-10-26,Toys,340.06,3,Not as described,Returned,209.0,56,Female,City92,Credit Card,Next-Day,27.27,1,209.0,4,92,0,1,0,1.0
